"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 31 16:28:18 GMT 2025","Thu Jul 31 16:28:19 GMT 2025","1364","LMS System","Courses","Courses","","","Empty courses list displaying",""
"passed","Thu Jul 31 16:28:15 GMT 2025","Thu Jul 31 16:28:17 GMT 2025","1567","LMS System","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Thu Jul 31 16:28:19 GMT 2025","Thu Jul 31 16:28:22 GMT 2025","2787","LMS System","Courses","Courses","","","Create new course with all required fields",""
"passed","Thu Jul 31 16:28:10 GMT 2025","Thu Jul 31 16:28:13 GMT 2025","3552","LMS System","Authentication","Authorization","","","User login with correct credentials",""
"passed","Thu Jul 31 16:28:22 GMT 2025","Thu Jul 31 16:28:24 GMT 2025","1740","LMS System","Dashboard","Dashboard","","","Dashboard displaying with all components",""
"passed","Thu Jul 31 16:28:15 GMT 2025","Thu Jul 31 16:28:16 GMT 2025","1249","LMS System","Authentication","Authorization","","","Navigate from authorization to registration page",""
"passed","Thu Jul 31 16:28:19 GMT 2025","Thu Jul 31 16:28:23 GMT 2025","3451","LMS System","Courses","Courses","","","Edit existing course and save changes",""
"passed","Thu Jul 31 16:28:10 GMT 2025","Thu Jul 31 16:28:12 GMT 2025","1975","LMS System","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Thu Jul 31 16:28:13 GMT 2025","Thu Jul 31 16:28:14 GMT 2025","1622","LMS System","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Thu Jul 31 16:28:14 GMT 2025","Thu Jul 31 16:28:15 GMT 2025","1481","LMS System","Authentication","Authorization","","","User login with wrong email or password",""
